entreprise,categorie,sous_categorie,ville,canton,adresse,postcode,telephone,email,site_web,latitude,longitude,source,osm_id,score_colixo,besoin_detecte,angle_commercial,message_prospection
Domaine de Montbenay,vin,domaine_viticole,Mont-sur-Rolle,Vaud,Chemin de Jérusalem 2a,1185,+41 79 272 79 42,info@montbenay.ch,https://www.montbenay.ch/,46.4677432,6.3343866,OpenStreetMap / Overpass,node/10796720051,90,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine de Montbenay, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave chez Nathalie,vin,caviste,Sainte-Croix,Vaud,Rue Centrale 3,1450,+41 79 870 59 51,contact@cavecheznathalie.ch,https://cavecheznathalie.ch/,46.8238613,6.5015855,OpenStreetMap / Overpass,node/13094920204,85,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave chez Nathalie, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave Vins de France,vin,caviste,,Vaud,Grand'Rue 13,01210,+33 4 50 40 64 69,info@cavevinsdefrance.fr,https://www.cavevinsdefrance.fr,46.2562162,6.1100204,OpenStreetMap / Overpass,node/6185704885,85,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave Vins de France, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave du Château de Denens,vin,caviste,,Vaud,Ruelle du Château 7,1135,+41 79 401 92 55,info@chateaudedenens.com,http://www.chateaudedenens.com,46.5174706,6.4589713,OpenStreetMap / Overpass,node/7150985285,85,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave du Château de Denens, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave Étienne Betrisey,vin,caviste,,Valais,,,+41 27 398 51 33,cavebetrisey@bluewin.ch,https://cavebetrisey.ch/,46.2703129,7.4016086,OpenStreetMap / Overpass,node/1975300351,85,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave Étienne Betrisey, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Vin d'oeuvre,vin,domaine_viticole,,Valais,,,+41 27 473 38 38,info@vindoeuvre.ch,https://www.vindoeuvre.ch,46.3185525,7.6331075,OpenStreetMap / Overpass,node/9783901700,80,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Vin d'oeuvre, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Mövenpick,vin,domaine_viticole,,Jura,,,+41 32 342 09 14,biel@moevenpick-wein.ch,https://www.moevenpick-wein.com/de/moevenpick-wein-biel,47.1514586,7.2651768,OpenStreetMap / Overpass,node/9770694583,80,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Mövenpick, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Dubois Vignerons,vin,domaine_viticole,,Vaud,,,+41 21 799 33 00,office@dubois.ch,https://dubois.ch/,46.4913949,6.7477555,OpenStreetMap / Overpass,node/12951046219,80,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Dubois Vignerons, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Les Vignes de Paradis,vin,domaine_viticole,Douvaine,Vaud,Route des Gravannes 2,74140,+33 4 50 94 31 03,lesvignesdeparadis@orange.fr,https://www.les-vignes-de-paradis.fr,46.2947218,6.309378,OpenStreetMap / Overpass,way/1144794470,80,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Les Vignes de Paradis, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Vins Hubert Germanier,vin,domaine_viticole,,Valais,,,,,http://cave-hubert-germanier.ch/espace-degustation/,46.2257057,7.27926,OpenStreetMap / Overpass,node/6001349686,80,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Vins Hubert Germanier, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cru de l'Hôpital,vin,domaine_viticole,Môtier (Vully),Vaud,Route du Lac 200,1787,,,https://www.cru-hopital.ch/,46.9453355,7.0740077,OpenStreetMap / Overpass,node/4283898913,80,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cru de l'Hôpital, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Le Carnotzet Aymon,vin,caviste,Anzère,Valais,Route d'Anzère 71,1972,+41 79 219 43 15,caveaymondominique@gmail.com,https://www.aymondominique.ch/,46.2958044,7.4063413,OpenStreetMap / Overpass,node/12254680583,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Le Carnotzet Aymon, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave Parisod,vin,domaine_viticole,Bellerive VD,Vaud,Bellerive 14,1585,+41 26 677 17 18,,http://www.parisod.com,46.9245235,7.0240353,OpenStreetMap / Overpass,node/4461625023,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave Parisod, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave du Tonnelier,vin,domaine_viticole,Vallamand-Dessus,Vaud,Route du Grand Pré 1,1586,+41 26 677 12 68,,https://www.cavedutonnelier.ch/,46.9322413,7.0396919,OpenStreetMap / Overpass,node/4461505623,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave du Tonnelier, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave des Marnes,vin,domaine_viticole,Constantine,Vaud,Route du 14,1585,+41 26 677 13 64,,https://www.gentizonvins.ch/,46.9185569,7.0118185,OpenStreetMap / Overpass,node/4461625027,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave des Marnes, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Caves du Château SA,vin,domaine_viticole,Montmagny,Vaud,Route de la Poste 5,1587,+41 26 677 13 30,,http://www.caves-du-chateau-sa.ch,46.9258251,7.009671,OpenStreetMap / Overpass,node/4461625028,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Caves du Château SA, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine de Villarose,vin,domaine_viticole,Mur (Vully) VD,Vaud,Chemin de l'Aubel 6,1787,+41 26 673 12 40,,https://www.domaine-de-villarose.ch,46.9446514,7.0595542,OpenStreetMap / Overpass,node/4461505622,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine de Villarose, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine Neyroud-Fonjallaz,vin,domaine_viticole,Chardonne,Vaud,Route du Vignoble 13,1803,+41 21 921 71 73,,https://neyroud.ch/,46.4760139,6.8280951,OpenStreetMap / Overpass,node/12919955719,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine Neyroud-Fonjallaz, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave du Château de Mur,vin,domaine_viticole,,Vaud,,,+41 26 3052265,,https://www.domainesduvully.ch/,46.9439521,7.0626141,OpenStreetMap / Overpass,node/4461505621,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave du Château de Mur, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine de Chambaz,vin,domaine_viticole,Môtier,Vaud,Route du Lac 150,1787,+41 26 673 12 09,,http://www.chautems-cave.ch,46.9478278,7.0816332,OpenStreetMap / Overpass,node/4472519654,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine de Chambaz, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine des Rueyres,vin,domaine_viticole,Chardonne,Vaud,Chemin des Rueyres 8,1803,+41 21 946 10 78,,https://www.domainedesrueyres.ch/,46.4778663,6.7995818,OpenStreetMap / Overpass,node/12919920775,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine des Rueyres, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Caveau Mélanie Weber,vin,domaine_viticole,Cully,Vaud,Place du Temple 2,1096,+41 79 379 88 34,,https://www.mw-vins.ch/,46.4888465,6.7297295,OpenStreetMap / Overpass,node/11649972906,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Caveau Mélanie Weber, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
"Caves du Paradis
Olivier Roten SA",vin,domaine_viticole,,Valais,Route de la Gemmi 135,,+41 27 455 19 03,,https://www.cavesduparadis.ch/,46.3002516,7.5587715,OpenStreetMap / Overpass,node/9540142466,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Caves du Paradis
Olivier Roten SA, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine des Abeilles d'Or,vin,domaine_viticole,Satigny,Vaud,Route du Moulin-Fabry 3,1242,+41 22 753 16 37,,https://www.abeillesdor.ch/,46.2224174,6.027032,OpenStreetMap / Overpass,node/4691823063,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine des Abeilles d'Or, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave Bernard Chevalley,vin,domaine_viticole,St-Saphorin (Lavaux),Vaud,Place du Peuplier,,+41794515574,,http://www.lesfosses.ch,46.4734239,6.7958352,OpenStreetMap / Overpass,node/7080347038,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave Bernard Chevalley, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Mövenpick Weine,vin,caviste,,Vaud,Route du Jura 49,1700,+41 26 466 24 21,cellier.fribourg@moevenpick.com,https://www.moevenpick-wein.com/,46.8099241,7.1452261,OpenStreetMap / Overpass,node/5706110132,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Mövenpick Weine, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine des Alouettes,vin,domaine_viticole,Satigny,Vaud,Chemin de la Vieille-Servette 36,1242,+41 22 753 03 00,,https://domaine-des-alouettes.ch/,46.2234808,6.0401034,OpenStreetMap / Overpass,node/4692066102,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine des Alouettes, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine de Maison Blanche,vin,domaine_viticole,,Vaud,Chemin de la Maison Blanche 2,1185,+41 79 204 18 72,,https://www.domainemaisonblanche.ch/,46.4691426,6.3325888,OpenStreetMap / Overpass,node/4793368230,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine de Maison Blanche, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine des Muses,vin,domaine_viticole,,Valais,Rue du Manège 2,,+41 27 455 73 09,,https://www.domainedesmuses.ch/,46.2896631,7.5507413,OpenStreetMap / Overpass,node/9540149944,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine des Muses, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Au clos de la République,vin,caviste,,Vaud,,1098,+41 21 799 14 44,info@patrick-fonjallaz.ch,https://closdelarepublique.ch,46.4917783,6.7463162,OpenStreetMap / Overpass,node/11464361669,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Au clos de la République, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Cave Christophe Jacquod,vin,domaine_viticole,,Valais,Route de la Croix de Corban 4,,+41 27 203 92 27,,https://jacquod-vins.ch/,46.2350728,7.4095466,OpenStreetMap / Overpass,node/9538472945,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Cave Christophe Jacquod, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Vins Duvernay,vin,caviste,,Vaud,Rue Charles Dupraz 12,,+33 4 50 92 20 20,contact@vinsduvernay.com,https://www.vinsduvernay.com/,46.1907855,6.2350051,OpenStreetMap / Overpass,node/5315444585,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Vins Duvernay, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Domaine du Paradis,vin,domaine_viticole,Satigny,Vaud,Route du Mandement 275,1242,+41 22 753 18 55,,https://www.domaine-du-paradis.ch/,46.2023058,6.0270688,OpenStreetMap / Overpass,node/12064606471,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Domaine du Paradis, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
Vins Porret,vin,caviste,,Vaud,,,+41 32 842 10 52,info@porretvins.ch,https://porretvins.ch,46.9438761,6.8484485,OpenStreetMap / Overpass,node/12050708069,75,"Livraison de cartons de vin, clients privés, restaurants, points de vente","Livraison souple en Suisse romande, pics saisonniers, image premium","Bonjour, je me permets de vous contacter au nom de Colixo. Nous aidons les domaines viticoles, caves et cavistes en Suisse romande à organiser leurs livraisons de cartons de vin vers leurs clients, restaurants ou points de vente. Votre activité, Vins Porret, semble correspondre à un besoin de livraison souple et régulière. Seriez-vous ouvert à un court échange ?"
